t, x, v, a, label

0.0000, 0.0000, 0.0000, 10.0000, ACC
0.1000, 0.0500, 1.0000, 10.0000, ACC
0.2000, 0.2000, 2.0000, 10.0000, ACC
0.3000, 0.4500, 3.0000, 10.0000, ACC
0.4000, 0.8000, 4.0000, 10.0000, ACC
0.5000, 1.2500, 5.0000, 10.0000, ACC
0.6000, 1.8000, 6.0000, 10.0000, ACC
0.7000, 2.4500, 7.0000, 10.0000, ACC
0.8000, 3.2000, 8.0000, 10.0000, ACC
0.9000, 4.0500, 9.0000, 10.0000, ACC
1.0000, 5.0000, 10.0000, 10.0000, ACC
1.1000, 6.0500, 11.0000, 10.0000, ACC
1.2000, 7.2000, 12.0000, 10.0000, ACC
1.3000, 8.4500, 13.0000, 10.0000, ACC
1.4000, 9.8000, 14.0000, 10.0000, ACC
1.5000, 11.2500, 15.0000, 0.0000, CON
1.6000, 12.7500, 15.0000, 0.0000, CON
1.7000, 14.2500, 15.0000, 0.0000, CON
1.8000, 15.7500, 15.0000, 0.0000, CON
1.9000, 17.2500, 15.0000, 0.0000, CON
2.0000, 18.7500, 15.0000, 0.0000, CON
2.1000, 20.2500, 15.0000, 0.0000, CON
2.2000, 21.7500, 15.0000, 0.0000, CON
2.3000, 23.2500, 15.0000, 0.0000, CON
2.4000, 24.7500, 15.0000, 0.0000, CON
2.5000, 26.2500, 15.0000, 0.0000, CON
2.6000, 27.7500, 15.0000, 0.0000, CON
2.7000, 29.2500, 15.0000, 0.0000, CON
2.8000, 30.7500, 15.0000, 0.0000, CON
2.9000, 32.2500, 15.0000, 0.0000, CON
3.0000, 33.7500, 15.0000, 0.0000, CON
3.1000, 35.2500, 15.0000, 0.0000, CON
3.2000, 36.7500, 15.0000, 0.0000, CON
3.3000, 38.2500, 15.0000, 0.0000, CON
3.4000, 39.7500, 15.0000, 0.0000, CON
3.5000, 41.2500, 15.0000, 0.0000, CON
3.6000, 42.7500, 15.0000, 0.0000, CON
3.7000, 44.2500, 15.0000, 0.0000, CON
3.8000, 45.7500, 15.0000, 0.0000, CON
3.9000, 47.2500, 15.0000, 0.0000, CON
4.0000, 48.7500, 15.0000, 0.0000, CON
4.1000, 50.2500, 15.0000, 0.0000, CON
4.2000, 51.7500, 15.0000, 0.0000, CON
4.3000, 53.2500, 15.0000, 0.0000, CON
4.4000, 54.7500, 15.0000, 0.0000, CON
4.5000, 56.2500, 15.0000, 0.0000, CON
4.6000, 57.7500, 15.0000, 0.0000, CON
4.7000, 59.2500, 15.0000, 0.0000, CON
4.8000, 60.7500, 15.0000, 0.0000, CON
4.9000, 62.2500, 15.0000, 0.0000, CON
5.0000, 63.7500, 15.0000, 0.0000, CON
5.1000, 65.2500, 15.0000, 0.0000, CON
5.2000, 66.7500, 15.0000, 0.0000, CON
5.3000, 68.2500, 15.0000, 0.0000, CON
5.4000, 69.7500, 15.0000, 0.0000, CON
5.5000, 71.2500, 15.0000, 0.0000, CON
5.6000, 72.7500, 15.0000, 0.0000, CON
5.7000, 74.2500, 15.0000, 0.0000, CON
5.8000, 75.7500, 15.0000, 0.0000, CON
5.9000, 77.2500, 15.0000, 0.0000, CON
6.0000, 78.7500, 15.0000, 0.0000, CON
6.1000, 80.2500, 15.0000, 0.0000, CON
6.2000, 81.7500, 15.0000, 0.0000, CON
6.3000, 83.2500, 15.0000, 0.0000, CON
6.4000, 84.7500, 15.0000, 0.0000, CON
6.5000, 86.2500, 15.0000, 0.0000, CON
6.6000, 87.7500, 15.0000, 0.0000, CON
6.7000, 89.2500, 15.0000, -20.0000, DEC
6.8000, 90.6500, 13.0000, -20.0000, DEC
6.9000, 91.8500, 11.0000, -20.0000, DEC
7.0000, 92.8500, 9.0000, -20.0000, DEC
7.1000, 93.6500, 7.0000, -20.0000, DEC
7.2000, 94.2500, 5.0000, -20.0000, DEC
7.3000, 94.6500, 3.0000, -20.0000, DEC
7.4000, 94.8500, 1.0000, -20.0000, DEC
