t, x, v, a, label

0.0000, 0.0000, 0.0000, 10.0000, ACC
0.1000, 0.0500, 1.0000, 10.0000, ACC
0.2000, 0.2000, 2.0000, 10.0000, ACC
0.3000, 0.4500, 3.0000, 10.0000, ACC
0.4000, 0.8000, 4.0000, 10.0000, ACC
0.5000, 1.2500, 5.0000, 10.0000, ACC
0.6000, 1.8000, 6.0000, 10.0000, ACC
0.7000, 2.4500, 7.0000, 10.0000, ACC
0.8000, 3.2000, 8.0000, 10.0000, ACC
0.9000, 4.0500, 9.0000, 10.0000, ACC
1.0000, 5.0000, 10.0000, 10.0000, ACC
1.1000, 6.0500, 11.0000, 10.0000, ACC
1.2000, 7.2000, 12.0000, 10.0000, ACC
1.3000, 8.4500, 13.0000, 10.0000, ACC
1.4000, 9.8000, 14.0000, 10.0000, ACC
1.5000, 11.2500, 15.0000, 10.0000, ACC
1.6000, 12.8000, 16.0000, 10.0000, ACC
1.7000, 14.4500, 17.0000, 10.0000, ACC
1.8000, 16.2000, 18.0000, 10.0000, ACC
1.9000, 18.0500, 19.0000, 10.0000, ACC
2.0000, 20.0000, 20.0000, 0.0000, CON
2.1000, 22.0000, 20.0000, 0.0000, CON
2.2000, 24.0000, 20.0000, 0.0000, CON
2.3000, 26.0000, 20.0000, 0.0000, CON
2.4000, 28.0000, 20.0000, 0.0000, CON
2.5000, 30.0000, 20.0000, 0.0000, CON
2.6000, 32.0000, 20.0000, 0.0000, CON
2.7000, 34.0000, 20.0000, 0.0000, CON
2.8000, 36.0000, 20.0000, 0.0000, CON
2.9000, 38.0000, 20.0000, 0.0000, CON
3.0000, 40.0000, 20.0000, 0.0000, CON
3.1000, 42.0000, 20.0000, 0.0000, CON
3.2000, 44.0000, 20.0000, 0.0000, CON
3.3000, 46.0000, 20.0000, 0.0000, CON
3.4000, 48.0000, 20.0000, 0.0000, CON
3.5000, 50.0000, 20.0000, 0.0000, CON
3.6000, 52.0000, 20.0000, 0.0000, CON
3.7000, 54.0000, 20.0000, 0.0000, CON
3.8000, 56.0000, 20.0000, 0.0000, CON
3.9000, 58.0000, 20.0000, 0.0000, CON
4.0000, 60.0000, 20.0000, 0.0000, CON
4.1000, 62.0000, 20.0000, 0.0000, CON
4.2000, 64.0000, 20.0000, 0.0000, CON
4.3000, 66.0000, 20.0000, 0.0000, CON
4.4000, 68.0000, 20.0000, 0.0000, CON
4.5000, 70.0000, 20.0000, 0.0000, CON
4.6000, 72.0000, 20.0000, 0.0000, CON
4.7000, 74.0000, 20.0000, 0.0000, CON
4.8000, 76.0000, 20.0000, 0.0000, CON
4.9000, 78.0000, 20.0000, 0.0000, CON
5.0000, 80.0000, 20.0000, 0.0000, CON
5.1000, 82.0000, 20.0000, 0.0000, CON
5.2000, 84.0000, 20.0000, 0.0000, CON
5.3000, 86.0000, 20.0000, 0.0000, CON
5.4000, 88.0000, 20.0000, -20.0000, DEC
5.5000, 89.9000, 18.0000, -20.0000, DEC
5.6000, 91.6000, 16.0000, -20.0000, DEC
5.7000, 93.1000, 14.0000, -20.0000, DEC
5.8000, 94.4000, 12.0000, -20.0000, DEC
5.9000, 95.5000, 10.0000, -20.0000, DEC
6.0000, 96.4000, 8.0000, -20.0000, DEC
6.1000, 97.1000, 6.0000, -20.0000, DEC
6.2000, 97.6000, 4.0000, -20.0000, DEC
6.3000, 97.9000, 2.0000, -20.0000, DEC
6.4000, 98.0000, 0.0000, -20.0000, DEC
